timestamp,message,logStreamName
1617825318099,"END RequestId: 99977df9-53e3-469f-9634-fe69d9443d42
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825318099,"REPORT RequestId: 99977df9-53e3-469f-9634-fe69d9443d42	Duration: 137.58 ms	Billed Duration: 138 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825318649,"START RequestId: c91f2ed5-a4b1-404b-b904-6dd0693febff Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825318779,"END RequestId: c91f2ed5-a4b1-404b-b904-6dd0693febff
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825318779,"REPORT RequestId: c91f2ed5-a4b1-404b-b904-6dd0693febff	Duration: 127.03 ms	Billed Duration: 128 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825320659,"START RequestId: f6e52cec-9753-4cb7-a481-80a00ef813b4 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825320799,"END RequestId: f6e52cec-9753-4cb7-a481-80a00ef813b4
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825320799,"REPORT RequestId: f6e52cec-9753-4cb7-a481-80a00ef813b4	Duration: 138.59 ms	Billed Duration: 139 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825321625,"START RequestId: 2e5944bf-f28d-4270-bb43-820f0d180585 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825321760,"END RequestId: 2e5944bf-f28d-4270-bb43-820f0d180585
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825321760,"REPORT RequestId: 2e5944bf-f28d-4270-bb43-820f0d180585	Duration: 131.10 ms	Billed Duration: 132 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825323092,"START RequestId: 26e8eea1-ec23-4399-a6e5-1ad7f15d00b9 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825323219,"END RequestId: 26e8eea1-ec23-4399-a6e5-1ad7f15d00b9
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825323219,"REPORT RequestId: 26e8eea1-ec23-4399-a6e5-1ad7f15d00b9	Duration: 123.63 ms	Billed Duration: 124 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825323354,"START RequestId: 36e83698-694a-457b-be95-057c14ad9cc3 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825323480,"END RequestId: 36e83698-694a-457b-be95-057c14ad9cc3
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825323480,"REPORT RequestId: 36e83698-694a-457b-be95-057c14ad9cc3	Duration: 123.55 ms	Billed Duration: 124 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825324581,"START RequestId: 3292615c-bb82-461d-ade5-803cdf84ee16 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825324700,"END RequestId: 3292615c-bb82-461d-ade5-803cdf84ee16
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825324700,"REPORT RequestId: 3292615c-bb82-461d-ade5-803cdf84ee16	Duration: 117.10 ms	Billed Duration: 118 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825325319,"START RequestId: 7dc28c92-a179-4a4b-8807-e6b099d238e1 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825325440,"END RequestId: 7dc28c92-a179-4a4b-8807-e6b099d238e1
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825325440,"REPORT RequestId: 7dc28c92-a179-4a4b-8807-e6b099d238e1	Duration: 119.30 ms	Billed Duration: 120 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825327598,"START RequestId: 7d8ec304-0d27-4b2b-8331-8f0e993b28aa Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825327739,"END RequestId: 7d8ec304-0d27-4b2b-8331-8f0e993b28aa
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825327739,"REPORT RequestId: 7d8ec304-0d27-4b2b-8331-8f0e993b28aa	Duration: 137.81 ms	Billed Duration: 138 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825328740,"START RequestId: ea04c3ca-2015-48d2-902b-12da07e3266f Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825328880,"END RequestId: ea04c3ca-2015-48d2-902b-12da07e3266f
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825328880,"REPORT RequestId: ea04c3ca-2015-48d2-902b-12da07e3266f	Duration: 136.42 ms	Billed Duration: 137 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825329159,"START RequestId: 67b77526-2560-489d-86f3-33e7b5607c36 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825329299,"END RequestId: 67b77526-2560-489d-86f3-33e7b5607c36
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825329299,"REPORT RequestId: 67b77526-2560-489d-86f3-33e7b5607c36	Duration: 136.46 ms	Billed Duration: 137 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825330401,"START RequestId: 08c7c44f-4fac-489c-85cd-7617a9b93836 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825330539,"END RequestId: 08c7c44f-4fac-489c-85cd-7617a9b93836
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825330539,"REPORT RequestId: 08c7c44f-4fac-489c-85cd-7617a9b93836	Duration: 123.85 ms	Billed Duration: 124 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825331501,"START RequestId: f9c1e1ee-fb76-4544-bba2-b11a7a0595a2 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825331639,"END RequestId: f9c1e1ee-fb76-4544-bba2-b11a7a0595a2
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825331639,"REPORT RequestId: f9c1e1ee-fb76-4544-bba2-b11a7a0595a2	Duration: 130.56 ms	Billed Duration: 131 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825332645,"START RequestId: 879d2d79-8b81-4773-a421-9a0d26a3444c Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825332760,"END RequestId: 879d2d79-8b81-4773-a421-9a0d26a3444c
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825332760,"REPORT RequestId: 879d2d79-8b81-4773-a421-9a0d26a3444c	Duration: 113.38 ms	Billed Duration: 114 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825333923,"START RequestId: dad46f41-d650-4c46-ada0-1144957627ef Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825334060,"END RequestId: dad46f41-d650-4c46-ada0-1144957627ef
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825334060,"REPORT RequestId: dad46f41-d650-4c46-ada0-1144957627ef	Duration: 133.45 ms	Billed Duration: 134 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825335082,"START RequestId: 806c3933-287e-4b8c-ae45-ded6ec09d8d1 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825335220,"END RequestId: 806c3933-287e-4b8c-ae45-ded6ec09d8d1
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825335220,"REPORT RequestId: 806c3933-287e-4b8c-ae45-ded6ec09d8d1	Duration: 134.49 ms	Billed Duration: 135 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825336036,"START RequestId: c7b18065-96c4-410a-8f34-9ac1887da0f3 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825336180,"END RequestId: c7b18065-96c4-410a-8f34-9ac1887da0f3
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825336180,"REPORT RequestId: c7b18065-96c4-410a-8f34-9ac1887da0f3	Duration: 140.41 ms	Billed Duration: 141 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825337327,"START RequestId: 4e5143e4-e81e-46d6-872a-0541de8c3d77 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825337460,"END RequestId: 4e5143e4-e81e-46d6-872a-0541de8c3d77
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825337460,"REPORT RequestId: 4e5143e4-e81e-46d6-872a-0541de8c3d77	Duration: 130.18 ms	Billed Duration: 131 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825338571,"START RequestId: be9172df-834e-4c60-a6b4-d95eee2ea6fb Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825338700,"END RequestId: be9172df-834e-4c60-a6b4-d95eee2ea6fb
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825338700,"REPORT RequestId: be9172df-834e-4c60-a6b4-d95eee2ea6fb	Duration: 125.10 ms	Billed Duration: 126 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825339312,"START RequestId: cd08f35e-565e-4a6b-8ac8-4412badfdb1a Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825339440,"END RequestId: cd08f35e-565e-4a6b-8ac8-4412badfdb1a
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825339440,"REPORT RequestId: cd08f35e-565e-4a6b-8ac8-4412badfdb1a	Duration: 123.40 ms	Billed Duration: 124 ms	Memory Size: 128 MB	Max Memory Used: 85 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825340962,"START RequestId: e63da3bf-d3df-4eee-89a9-c09d961f1aa4 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825341100,"END RequestId: e63da3bf-d3df-4eee-89a9-c09d961f1aa4
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825341100,"REPORT RequestId: e63da3bf-d3df-4eee-89a9-c09d961f1aa4	Duration: 136.87 ms	Billed Duration: 137 ms	Memory Size: 128 MB	Max Memory Used: 85 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825341580,"START RequestId: a7e8040e-d0f1-435f-9281-65f696e9ac57 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825341700,"END RequestId: a7e8040e-d0f1-435f-9281-65f696e9ac57
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825341700,"REPORT RequestId: a7e8040e-d0f1-435f-9281-65f696e9ac57	Duration: 118.71 ms	Billed Duration: 119 ms	Memory Size: 128 MB	Max Memory Used: 85 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825343199,"START RequestId: 8d7238b2-582d-4582-ad0c-929e8709b9a7 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825343340,"END RequestId: 8d7238b2-582d-4582-ad0c-929e8709b9a7
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825343340,"REPORT RequestId: 8d7238b2-582d-4582-ad0c-929e8709b9a7	Duration: 136.64 ms	Billed Duration: 137 ms	Memory Size: 128 MB	Max Memory Used: 85 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825344362,"START RequestId: 63fbaa37-b3b0-45e6-947f-26c91fe4794a Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825344480,"END RequestId: 63fbaa37-b3b0-45e6-947f-26c91fe4794a
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825344480,"REPORT RequestId: 63fbaa37-b3b0-45e6-947f-26c91fe4794a	Duration: 115.23 ms	Billed Duration: 116 ms	Memory Size: 128 MB	Max Memory Used: 85 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825345377,"START RequestId: 1b7b8028-ea9d-4e35-a3a0-b2738bef02bb Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825345500,"END RequestId: 1b7b8028-ea9d-4e35-a3a0-b2738bef02bb
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
